Id;cod_ind_p;nome_ind_p;definicao_p;inter_p;met_calc_p;fonte_p;valor_ref_p;period_p;atuali_p;period_c_p;abrang_g_p;nivel_a_p;dimen_p;limit_p;bibli_p;quest_pen_p;bobs_p;periodo_inic;periodo_fin;sexo;ajuste;cobertura;renda;escolaridade;situacao;pnad;sus;especialista;esfera;fxetaria;tabela;erro;porte;status
11;A34;Angioplastias realizadas no interior da Região de Saúde de residência;Percentual de angioplastias realizadas em municípios da Região de Saúde de residência do usuário de 20 anos ou mais de idade, no ano considerado.;Indica o nível de capacitação da Região de Saúde para realizar procedimentos de angioplastia em residentes.;Numerador: número de angioplastias realizadas no interior da Região de Saúde de residência do usuário de 20 anos ou mais de idade X 100. Denominador: número total de angioplastias realizadas na população de 20 anos ou mais de idade residente na Região de Saúde. Procedimentos (SIH/1998-2007): 32023014, 32035012, 48030066, 48030074, 48030082, 48030090, 48030104, 48030112. Procedimentos (SIH/2008-2010): 0406030014, 0406030022, 0406030030, 0406030049, 0406030065 e 0406030073.;SIH-SUS.;;Anual.;Anual.;2000 - 2015;Regiões de Saúde.;;Acesso.;;;;;2000;2017;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
12;A35;Angioplastias realizadas fora da Região de Saúde de residência;Percentual de angioplastias realizadas fora da Região de Saúde de residência do usuário de 20 anos ou mais de idade, no ano considerado.;Indica o nível de capacitação da Região de Saúde para realizar procedimentos de angioplastia em residentes.;Numerador: número de angioplastias realizadas fora da Região de Saúde de residência do usuário de 20 anos ou mais de idade X 100. Denominador: número total de angioplastias realizadas na população de 20 anos ou mais de idade residente na Região de Saúde. Procedimentos (SIH/1998-2007): 32023014, 32035012, 48030066, 48030074, 48030082, 48030090, 48030104, 48030112. Procedimentos (SIH/2008-2010): 0406030014, 0406030022, 0406030030, 0406030049, 0406030065 e 0406030073.;SIH-SUS.;;Anual.;Anual.;2000 - 2015;Regiões de Saúde.;;Acesso.;;;;;2000;2017;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
13;A36;Partos hospitalares realizados no interior da Região de Saúde de residência;Percentual de nascidos vivos de parto hospitalar em municípios da Região de Saúde de residência da mãe, no ano considerado.;Indica o nível de capacitação da Região de Saúde para realizar partos hospitalares em residentes.;Numerador: número de nascidos vivos de parto hospitalar em municípios da Região de Saúde de residência da mãe X 100. Denominador: número total de nascidos vivos de parto hospitalar de mulheres residentes na Região de Saúde.;SINASC.;;Anual.;Anual.;2000 - 2015;Regiões de Saúde.;;Acesso.;Desconsidera, por restrição da fonte de dados, os partos que deram origem a natimortos e abortos.;;;;2000;2016;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
14;A37;Partos hospitalares realizados fora da Região de Saúde de residência;Percentual de nascidos vivos de parto hospitalar fora da Região de Saúde de residência da mãe, no ano considerado.;Indica o nível de capacitação da Região de Saúde para realizar partos hospitalares em residentes.;Numerador: número de nascidos vivos de parto hospitalar em municípios fora da Região de Saúde de residência da mãe X 100. Denominador: número total de nascidos vivos de parto hospitalar de mulheres residentes na Região de Saúde.;SINASC.;;Anual.;Anual.;2000 - 2015;Regiões de Saúde.;;Acesso.;Desconsidera, por restrição da fonte de dados, os partos que deram origem a natimortos e abortos.;;;;2000;2016;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
15;A38;Mamografias realizadas no interior da Região de Saúde de residência;Percentual de mamografias realizadas em municípios da Região de Saúde de residência da usuária de 50 a 69 anos de idade, no ano considerado.;Indica o nível de capacitação da Região de Saúde para realizar procedimentos de mamografia em residentes.;Numerador: número de mamografias realizadas no interior da Região de Saúde de residência da usuária de 50 a 69 anos de idade X 100. Denominador: número total de mamografias realizadas na população de 50 a 69 anos de idade residente na Região de Saúde. Procedimento: 0204030188. Observação: para os anos de 2008 e 2009, a estimativa foi a partir dos procedimentos 0204030030 e 0204030188.;SIA.;;Anual.;Anual.;2008 - 2015;Regiões de Saúde.;;Acesso.;;;;;2008;2017;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
16;A39;Mamografias realizadas fora da Região de Saúde de residência;Percentual de mamografias realizadas fora da Região de Saúde de residência da usuária de 50 a 69 anos de idade, no ano considerado.;Indica o nível de capacitação da Região de Saúde para realizar procedimentos de mamografia em residentes.;Numerador: número de mamografias realizadas fora da Região de Saúde de residência da usuária de 50 a 69 anos de idade X 100. Denominador: número total de mamografias realizadas na população de 50 a 69 anos de idade residente na Região de Saúde. Procedimento: 0204030188. Observação: para os anos de 2008 e 2009, a estimativa foi a partir dos procedimentos 0204030030 e 0204030188.;SIA.;;Anual.;Anual.;2008 - 2015;Regiões de Saúde.;;Acesso.;;;;;2008;2017;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
17;A40;Quimioterapias realizadas no interior da Região de Saúde de residência;Percentual de quimioterapias realizadas em municípios da Região de Saúde de residência do usuário, no ano considerado.;Indica o nível de capacitação da Região de Saúde para realizar procedimentos de quimioterapia em residentes.;Numerador: número de quimioterapias realizadas no interior da Região de Saúde de residência do usuário X 100. Denominador: número total de quimioterapias realizadas na população residente na Região de Saúde. Procedimentos: 03040*.;SIA.;;Anual.;Anual.;2008 - 2015;Regiões de Saúde.;;Acesso.;;;;;2008;2017;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
18;A41;Quimioterapias realizadas fora da Região de Saúde de residência;Percentual de quimioterapias realizadas fora da Região de Saúde de residência do usuário, no ano considerado.;Indica o nível de capacitação da Região de Saúde para realizar procedimentos de quimioterapia em residentes.;Numerador: número de quimioterapias realizadas fora da Região de Saúde de residência do usuário X 100. Denominador: número total de quimioterapias realizadas na população residente na Região de Saúde. Procedimentos: 03040*.;SIA.;;Anual.;Anual.;2008 - 2015;Regiões de Saúde.;;Acesso.;;;;;2008;2017;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
19;A42;Radioterapias realizadas no interior da Região de Saúde de residência;Percentual de radioterapias realizadas em municípios da Região de Saúde de residência do usuário, no ano considerado.;Indica o nível de capacitação da Região de Saúde para realizar procedimentos de radioterapia em residentes.;Numerador: número de radioterapias realizadas no interior da Região de Saúde de residência do usuário X 100. Denominador: número total de radioterapias realizadas na população residente na Região de Saúde. Procedimentos: 0304010235 0304010243 0304010251 0304010286 0304010294.;SIA.;;Anual.;Anual.;2008 - 2015;Regiões de Saúde.;;Acesso.;;;;;2008;2017;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
20;A43;Radioterapias realizadas fora da Região de Saúde de residência;Percentual de radioterapias realizadas fora da Região de Saúde de residência do usuário, no ano considerado.;Indica o nível de capacitação da Região de Saúde para realizar procedimentos de radioterapia em residentes.;Numerador: número de radioterapias realizadas fora da Região de Saúde de residência do usuário X 100. Denominador: número total de radioterapias realizadas na população residente na Região de Saúde. Procedimentos: 0304010235 0304010243 0304010251 0304010286 0304010294.;SIA.;;Anual.;Anual.;2008 - 2015;Regiões de Saúde.;;Acesso.;;;;;2008;2017;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
21;A51;Internação hospitalar;Taxa de internação hospitalar no Sistema Único de Saúde (SUS), por 1.000 habitantes, na população residente em determinado espaço geográfico, no ano considerado.;1 - Reflete as condições de acesso aos serviços hospitalares, que, por sua vez, guarda relação com a oferta desses serviços no SUS. 2 - Revela o resultado das ações e serviços de promoção da saúde, prevenção de riscos, e do diagnóstico e tratamento precoces.;Numerador: número de internações hospitalares de residentes, pagas pelo SUS X 1.000. Denominador: população total residente, no período considerado.;SIH-SUS.;;Mensal.;Anual.;2000 - 2015;Regiões de Saúde.;Media e alta complexidades;Acesso.;;;;;2000;2017;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
22;A52;Razão de mamografia;Razão entre o número de procedimentos de mamografia em mulheres de 50 a 69 anos de idade e a metade da população de mulheres na mesma faixa etária, na população residente em determinado espaço geográfico, no ano considerado.;Permite monitorar o acesso de mulheres de 50 a 69 anos ao exame de mamografia.;Numerador: número de procedimentos de mamografia realizados em mulheres de 50 a 69 anos de idade. Denominador: metade do número de mulheres de 50 a 69 anos de idade. Procedimento: 0204030188 (para os anos de 2008 e 2009, o número de procedimentos foi estimado usando os procedimentos 0204030030 e 0204030188).;SIA.;;Mensal.;Anual.;2008 - 2015;Regiões de Saúde.;Média e alta complexidades;Acesso.;Inclui apenas os atendimentos realizados no setor público ou no setor privado quando pagos pelo SUS.;;;;2008;2017;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
23;A53;Razão de Papanicolau;Razão entre o número de exames citopatológicos (exame de Papanicolau) em mulheres de 25 a 64 e um terço da população de mulheres nesta faixa etária, na população residente em determinado espaço geográfico, no ano considerado.;Permite conhecer o acesso do grupo etário de mulheres para o qual o Instituto Nacional de Câncer (INCA) propõe a realização do exame de papanicolau, para detecção precoce de anomalias do colo do útero.;Numerador: número de exames citopatológicos de colo do útero realizados em mulheres de 25 a 64 anos de idade. Denominador: um terço do número de mulheres de 25 a 64 anos de idade. Procedimentos: 0203010019 e 0203010086.;SIA.;;Mensal.;Anual.;2008 - 2015;Regiões de Saúde.;Primária;Acesso.;Enquanto nas UFs os dados provem das informações da PNAD, nas Regiões de Saúde a fonte é o SIA, o que significa que trata-se apenas dos procedimentos realizados através do SUS.;;;;2008;2017;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
24;A54;Cobertura por planos de saúde;Percentual da população coberta por planos e seguros de assistência suplementar à saúde, em determinado espaço geográfico, no ano considerado.;Estima a parcela da população coberta por planos e seguros de assistência suplementar à saúde (privados e de servidores públicos).;Numerador: número de beneficiários (titulares, dependentes e agregados) de planos de saúde (privados e de servidores públicos) X 100 (mês de referência - dezembro). Denominador: população total residente.;ANS.;;Trimestral.;Anual.;2000 - 2015;Regiões de Saúde.;;Acesso.;;;;;2000;2017;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
25;B01;Incidência de Aids;Número de casos novos confirmados de síndrome de imunodeficiência adquirida (Aids - códigos B20-B24 da CID-10), por 100 mil habitantes, na população residente em determinado espaço geográfico, no ano considerado.;1 - Estima o risco de ocorrência de Aids, numa determinada população em intervalo de tempo determinado. 2 - Indica a existência de condições favoráveis à transmissão da doença, por via sexual, sanguínea ou por transmissão vertical. 3 - Não reflete a situação atual de infecção pelo HIV no período de referência e sim a da doença, cujos sinais e sintomas surgem, em geral, após longo período de infecção assintomática (em média 8 anos), no qual o indivíduo permanece infectante. 4 - Indica a efetividade do Programa Nacional de DST/Aids.;Numerador: número de casos novos de Aids em residentes X 100.000. Denominador: população total residente no período determinado.;Sinan sendo que desde 2005 os dados do Sinan são complementados com dados de outros sistemas de informação (Siclom, Siscel e SIM).;;Mensal.;Anual.;2000 - 2015;Regiões de Saúde.;Básica;Efetividade.;;OECD, Health at a Glance 2011: OECD Indicators, OECD Publishing.;Informações apresentadas segundo local de residência e ano do diagnóstico.;;2000;2016;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
26;B06;Mortalidade por hipertensão;Número de óbitos por hipertensão na população residente de 50 a 64 anos de idade, por 100 mil habitantes, em determinado espaço geográfico, no ano considerado.;1 - Estima o risco de morte por hipertensão na população de 50 a 64 anos de idade e dimensiona a sua magnitude como problema de saúde pública. 2 - É um indicador de efetividade das ações de atenção primária.;Numerador: número de óbitos de residentes de 50 a 64 anos de idade, por hipertensão X 100.000. Denominador: população total residente de 50 a 64 anos de idade. Códigos CID-10: I10-I13.;SIM e IBGE.;;Anual.;Anual.;2000 - 2015;Regiões de Saúde.;Básica;Efetividade.;Requer correção da subenumeração de óbitos captados pelo sistema de informação sobre mortalidade, especialmente nas regiões Norte e Nordeste.;Lotufo, P. Revisão/Atualização em Hipertensão Arterial: A mortalidade elevada associada à hipertensão no Brasil: um fator dietético? J. Bras. Nefrol. 1996 18(3): 285-288.;;;2000;2016;0;1;0;0;0;0;;0;0;0;0;1;0;0;S
27;B07;Mortalidade por infecção respiratória aguda em menores de 5 anos de idade;Número de óbitos por infecção respiratória aguda (IRA) em menores de 5 anos de idade, por 100 mil habitantes, na população residente menor de 5 anos de idade, em determinado espaço geográfico, no ano considerado.;1 - Estima o risco de morte por infecção respiratória aguda em menores de 5 anos e dimensiona a sua magnitude como problema de saúde pública. 2 - É um indicador de efetividade das ações de atenção primária. 3 - Reflete as condições socioeconômicas e de atenção básica à saúde da criança, principalmente diante dos fatores ambientais que favorecem a ocorrência de infecções respiratorias.;Numerador: número de óbitos de residentes menores de 5 anos de idade, por IRA X 100.000. Denominador: população total residente menor de 5 anos de idade. Códigos CID-10: J00-J22.;SIM e IBGE.;;Anual.;Anual.;2000 - 2015;Regiões de Saúde.;Básica;Efetividade.;Requer correção da subenumeração de óbitos captados pelo sistema de informação sobre mortalidade, especialmente nas regiões Norte e Nordeste.;World Health Organization. Environmental Health Indicators: framework and methodologies. Geneva, Switzerland: WHO, 1999.;;;2000;2016;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
28;B09;Incidência de tuberculose;Número de casos novos confirmados de tuberculose, por 100 mil habitantes, na população residente em determinado espaço geográfico, no ano considerado.;1 - Estima o risco de um indivíduo vir a desenvolver tuberculose, em qualquer de suas formas clínicas, numa determinada população em intervalo de tempo determinado. 2 - Indica a persistência de fatores favoráveis à propagação do bacilo Mycobacterium tuberculosis, que se transmite de um indivíduo a outro, principalmente a partir das formas pulmonares da doença. 3 - Taxas elevadas de incidência de tuberculose estão geralmente associadas a baixos níveis de desenvolvimento socioeconômico e a insatisfatórias condições de assistência, diagnóstico e tratamento de sintomáticos respiratórios. Outro fator a ser considerado é a cobertura de vacinação pelo BCG. 4 - Pode apresentar aumento da morbidade quando há associação entre tuberculose e infecção pelo HIV.;Numerador: número de casos novos confirmados de tuberculose (todas as formas) em residentes X 100.000. Denominador: população total residente no período determinado. Códigos CID-10: A15-A19.;Sinan.;Segundo o Boletim Epidemiológico MS/SVS Volume 48, n° 8, de 2017, as metas brasileiras são de alcançar, em 2035, coeficiente de incidência de tuberculose;Mensal.;Anual.;2001 - 2015;Regiões de Saúde.;Básica;Efetividade.;1 - Depende das condições técnico-operacionais do sistema de vigilância epidemiológica, em cada área geográfica, para detectar, notificar, investigar e confirmar casos de tuberculose. Na média nacional, o subregistro de casos é estimado em aproximadamente 30%. 2 - O indicador não discrimina as formas clínicas de tuberculose que têm significados diferentes na dinâmica de transmissão da doença.;Ruffino-Netto, A. Tuberculose: a calamidade negligenciada. Revista da Sociedade Brasileira de Medicina Tropical, 35(1): 51-58, jan-fev, 2002.;;;2001;2017;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
