cod_sec_inter;nome_sec_inter;nota1;nota2;ano;quint;t_quint;c_escol;t_escol;quintil;escol;f_etaria;t_f_etaria;c_f_etaria;nome_sec
A070000000200000000;Percentual de mulheres de 50 a 69 anos residentes em área rural que fizeram mamografia nos últimos 2 anos;;;;;;;;0;0;0;;;
A070010800000000000;Percentual de mulheres de 50 a 69 anos com 1 a 8 anos de escolaridade que fizeram mamografia nos últimos 2 anos;;;;;;1 a 8;Percentual de mulheres de 50 a 69 anos que fizeram mamografia nos últimos 2 anos, por anos de estudo;0;1;0;;;2
A070091100000000000;Percentual de mulheres de 50 a 69 anos com 9 a 11 anos de escolaridade que fizeram mamografia nos últimos 2 anos;;;;;;9 a 11;Percentual de mulheres de 50 a 69 anos que fizeram mamografia nos últimos 2 anos, por anos de estudo;0;1;0;;;3
A070111100000000000;Percentual de mulheres de 50 a 69 anos com menos de 1 ano de escolaridade que fizeram mamografia nos últimos 2 anos;;;;;;< 1;Percentual de mulheres de 50 a 69 anos que fizeram mamografia nos últimos 2 anos, por anos de estudo;0;1;0;;;1
A070120000000000000;Percentual de mulheres de 50 a 69 anos com 12 anos ou mais de escolaridade que fizeram mamografia nos últimos 2 anos;;;;;;12 ou mais;Percentual de mulheres de 50 a 69 anos que fizeram mamografia nos últimos 2 anos, por anos de estudo;0;1;0;;;4
A080000000000000000;Percentual da população que usou serviços de saúde nas 2 últimas semanas;;;;Total;Todas as categorias;Total;Todas as categorias;0;0;0;;;
A080000000010000000;Percentual da população do primeiro quintil de renda que usou serviços de saúde nas 2 últimas semanas;;;;Q1;Percentual da população que usou serviços de saúde nas 2 últimas semanas, por quintil de renda;;;1;0;0;;;
A080000000020000000;Percentual da população do segundo quintil de renda que usou serviços de saúde nas 2 últimas semanas;;;;Q2;Percentual da população que usou serviços de saúde nas 2 últimas semanas, por quintil de renda;;;1;0;0;;;
A080000000030000000;Percentual da população do terceiro quintil de renda que usou serviços de saúde nas 2 últimas semanas;;;;Q3;Percentual da população que usou serviços de saúde nas 2 últimas semanas, por quintil de renda;;;1;0;0;;;
A080000000040000000;Percentual da população do quarto quintil de renda que usou serviços de saúde nas 2 últimas semanas;;;;Q4;Percentual da população que usou serviços de saúde nas 2 últimas semanas, por quintil de renda;;;1;0;0;;;
A080000000050000000;Percentual da população do quinto quintil de renda que usou serviços de saúde nas 2 últimas semanas;;;;Q5;Percentual da população que usou serviços de saúde nas 2 últimas semanas, por quintil de renda;;;1;0;0;;;
A080000000100000000;Percentual da população residente em área urbana que usou serviços de saúde nas 2 últimas semanas;;;;;;;;0;0;0;;;
A080000000200000000;Percentual da população residente em área rural que usou serviços de saúde nas 2 últimas semanas;;;;;;;;0;0;0;;;
A080010800000000000;Percentual da população com 1 a 8 anos de escolaridade que usou serviços de saúde nas 2 últimas semanas;;;;;;1 a 8;Percentual da população que usou serviços de saúde nas 2 últimas semanas, por anos de estudo;0;1;0;;;1
A080091100000000000;Percentual da população com 9 a 11 anos de escolaridade que usou serviços de saúde nas 2 últimas semanas;;;;;;9 a 11;Percentual da população que usou serviços de saúde nas 2 últimas semanas, por anos de estudo;0;1;0;;;2
A080111100000000000;Percentual da população com menos de 1 ano de escolaridade que usou serviços de saúde nas 2 últimas semanas;;;;;;< 1;Percentual da população que usou serviços de saúde nas 2 últimas semanas, por anos de estudo;0;1;0;;;3
A080120000000000000;Percentual da população com 12 anos ou mais de escolaridade que usou serviços de saúde nas 2 últimas semanas;;;;;;12 ou mais;Percentual da população que usou serviços de saúde nas 2 últimas semanas, por anos de estudo;0;1;0;;;4
A081000000000000000;Percentual de homens que usaram serviços de saúde nas 2 últimas semanas;;;;;;;;0;0;0;;;
A082000000000000000;Percentual de mulheres que usaram serviços de saúde nas 2 últimas semanas;;;;;;;;0;0;0;;;
A100000000000000000;Percentual de partos hospitalares; ;;;;;Total;Todas as categorias;0;0;0;;;
A100010300000000000;Percentual de partos hospitalares entre mães com 1 a 3 anos de escolaridade;;;;;;1 a 3;Percentual de partos hospitalares, por anos de estudo da mãe;0;1;0;;;2
A100040700000000000;Percentual de partos hospitalares entre mães com 4 a 7 anos de escolaridade;;;;;;4 a 7;Percentual de partos hospitalares, por anos de estudo da mãe;0;1;0;;;3
A100081100000000000;Percentual de partos hospitalares entre mães com 8 a 11 anos de escolaridade;;;;;;8 a 11;Percentual de partos hospitalares, por anos de estudo da mãe;0;1;0;;;4
A100111100000000000;Percentual de partos hospitalares entre mães com menos de 1 ano de escolaridade;;;;;;< 1;Percentual de partos hospitalares, por anos de estudo da mãe;0;1;0;;;1
A100120000000000000;Percentual de partos hospitalares entre mães com 12 ou mais anos de escolaridade;;;;;;12 ou mais;Percentual de partos hospitalares, por anos de estudo da mãe;0;1;0;;;5
A1100000B0000000000;Taxa bruta de internação por artroplastia de quadril por 100 mil habitantes com 60 anos ou mais; ;;;;;;;0;0;0;;;
A1100000P0000000000;Taxa de internação por artroplastia de quadril padronizada por sexo e idade por 100 mil habitantes com 60 anos ou mais;Taxas por 100 mil habitantes;Taxa para a população de 60 anos ou mais;;;;;;0;0;0;;;
A120000000000000000;Taxa bruta de cirurgias de catarata por 100 mil habitantes com 40 anos ou mais; ;;;;;;;0;0;0;;;
A1300000B0000000000;Taxa bruta de cirurgia para revascularização do miocárdio por 100 mil habitantes com 20 anos ou mais; ;;;;;;;0;0;0;;;
A1300000P0000000000;Taxa de cirurgia para revascularização do miocárdio padronizada por sexo e idade por 100 mil habitantes com 20 anos ou mais;Taxas por 100 mil habitantes;Taxa para a população de 40 anos ou mais;;;;;;0;0;0;;;
A1500000B0000000000;Taxa bruta de angioplastia por 100 mil habitantes com 20 anos ou mais; ;;;;;;;0;0;0;;;
A1500000P0000000000;Taxa de angioplastia padronizada por sexo e idade por 100 mil habitantes com 20 anos ou mais;Taxas por 100 mil habitantes;Taxa para a população de 40 anos ou mais;;;;;;0;0;0;;;
A190000000000000000;Percentual de mulheres de 25 a 64 anos que fizeram papanicolau nos últimos 3 anos;;;;Total;Todas as categorias;Total;Todas as categorias;0;0;0;;;
A190000000010000000;Percentual de mulheres de 25 a 64 anos do primeiro quintil de renda que fizeram papanicolau nos últimos 3 anos;;;;Q1;Percentual de mulheres de 25 a 64 anos que fizeram papanicolau nos últimos 3 anos, por quintil de renda;;;1;0;0;;;
A190000000020000000;Percentual de mulheres de 25 a 64 anos do segundo quintil de renda que fizeram papanicolau nos últimos 3 anos;;;;Q2;Percentual de mulheres de 25 a 64 anos que fizeram papanicolau nos últimos 3 anos, por quintil de renda;;;1;0;0;;;
A190000000030000000;Percentual de mulheres de 25 a 64 anos do terceiro quintil de renda que fizeram papanicolau nos últimos 3 anos;;;;Q3;Percentual de mulheres de 25 a 64 anos que fizeram papanicolau nos últimos 3 anos, por quintil de renda;;;1;0;0;;;
A190000000040000000;Percentual de mulheres de 25 a 64 anos do quarto quintil de renda que fizeram papanicolau nos últimos 3 anos;;;;Q4;Percentual de mulheres de 25 a 64 anos que fizeram papanicolau nos últimos 3 anos, por quintil de renda;;;1;0;0;;;
A190000000050000000;Percentual de mulheres de 25 a 64 anos do quinto quintil de renda que fizeram papanicolau nos últimos 3 anos;;;;Q5;Percentual de mulheres de 25 a 64 anos que fizeram papanicolau nos últimos 3 anos, por quintil de renda;;;1;0;0;;;
A190000000100000000;Percentual de mulheres de 25 a 64 anos residentes em área urbana que fizeram papanicolau nos últimos 3 anos;;;;;;;;0;0;0;;;
A190000000200000000;Percentual de mulheres de 25 a 64 anos residentes em área rural que fizeram papanicolau nos últimos 3 anos;;;;;;;;0;0;0;;;
A190010800000000000;Percentual de mulheres de 25 a 64 anos com 1 a 8 anos de escolaridade que fizeram papanicolau nos últimos 3 anos;;;;;;1 a 8;Percentual de mulheres de 25 a 64 anos que fizeram papanicolau nos últimos 3 anos, por anos de estudo;0;1;0;;;2
A190091100000000000;Percentual de mulheres de 25 a 64 anos com 9 a 11 anos de escolaridade que fizeram papanicolau nos últimos 3 anos;;;;;;9 a 11;Percentual de mulheres de 25 a 64 anos que fizeram papanicolau nos últimos 3 anos, por anos de estudo;0;1;0;;;3
A190111100000000000;Percentual de mulheres de 25 a 64 anos com menos de 1 ano de escolaridade que fizeram papanicolau nos últimos 3 anos;;;;;;< 1;Percentual de mulheres de 25 a 64 anos que fizeram papanicolau nos últimos 3 anos, por anos de estudo;0;1;0;;;1
A190120000000000000;Percentual de mulheres de 25 a 64 anos com 12 anos ou mais de escolaridade que fizeram papanicolau nos últimos 3 anos;;;;;;12 ou mais;Percentual de mulheres de 25 a 64 anos que fizeram papanicolau nos últimos 3 anos, por anos de estudo;0;1;0;;;4
A200000000000000000;Percentual de crianças menores de 1 ano vacinadas com tetravalente/pentavalente; ;;;;;;;0;0;0;;;
A220000000000000000;Percentual da população de 60 anos ou mais vacinada contra gripe; ;;;;;;;0;0;0;;;
A230000000000000000;Percentual da população que refere nunca ter realizado consulta odontológica;;;;Total;Todas as categorias;Total;Todas as categorias;0;0;0;;;
A230000000010000000;Percentual da população do primeiro quintil de renda que refere nunca ter realizado consulta odontológica;;;;Q1;Percentual da população que refere nunca ter realizado consulta odontológica, por quintil de renda;;;1;0;0;;;
A230000000020000000;Percentual da população do segundo quintil de renda que refere nunca ter realizado consulta odontológica;;;;Q2;Percentual da população que refere nunca ter realizado consulta odontológica, por quintil de renda;;;1;0;0;;;
A230000000030000000;Percentual da população do terceiro quintil de renda que refere nunca ter realizado consulta odontológica;;;;Q3;Percentual da população que refere nunca ter realizado consulta odontológica, por quintil de renda;;;1;0;0;;;
A230000000040000000;Percentual da população do quarto quintil de renda que refere nunca ter realizado consulta odontológica;;;;Q4;Percentual da população que refere nunca ter realizado consulta odontológica, por quintil de renda;;;1;0;0;;;
A230000000050000000;Percentual da população do quinto quintil de renda que refere nunca ter realizado consulta odontológica;;;;Q5;Percentual da população que refere nunca ter realizado consulta odontológica, por quintil de renda;;;1;0;0;;;
A230000000100000000;Percentual da população residente em área urbana que refere nunca ter realizado consulta odontológica;;;;;;;;0;0;0;;;
A230000000200000000;Percentual da população residente em área rural que refere nunca ter realizado consulta odontológica;;;;;;;;0;0;0;;;
A230010800000000000;Percentual da população com 1 a 8 anos de escolaridade que refere nunca ter realizado consulta odontológica;;;;;;1 a 8;Percentual da população que refere nunca ter realizado consulta odontológica, por anos de estudo;0;1;0;;;2
A230091100000000000;Percentual da população com 9 a 11 anos de escolaridade que refere nunca ter realizado consulta odontológica;;;;;;9 a 11;Percentual da população que refere nunca ter realizado consulta odontológica, por anos de estudo;0;1;0;;;3
A230111100000000000;Percentual da população com menos de 1 ano de escolaridade que refere nunca ter realizado consulta odontológica;;;;;;< 1;Percentual da população que refere nunca ter realizado consulta odontológica, por anos de estudo;0;1;0;;;1
A230120000000000000;Percentual da população com 12 anos ou mais de escolaridade que refere nunca ter realizado consulta odontológica;;;;;;12 ou mais;Percentual da população que refere nunca ter realizado consulta odontológica, por anos de estudo;0;1;0;;;4
A231000000000000000;Percentual de homens que referem nunca ter realizado consulta odontológica;;;;;;;;0;0;0;;;
A232000000000000000;Percentual de mulheres que referem nunca ter realizado consulta odontológica;;;;;;;;0;0;0;;;
A260000000000000000;Percentual da população coberta pela Estratégia Saúde da Família (ESF); ;;;;;;;0;0;0;;;
A270000000000000000;Percentual da população coberta por planos e seguros de assistência suplementar à saúde;;;;Total;Todas as categorias;Total;Todas as categorias;0;0;0;;;
A270000000010000000;Percentual da população do primeiro quintil de renda coberta por planos e seguros de assistência suplementar à saúde;;;;Q1;Percentual da população coberta por planos e seguros de assistência suplementar à saúde, por quintil de renda;;;1;0;0;;;
A270000000020000000;Percentual da população do segundo quintil de renda coberta por planos e seguros de assistência suplementar à saúde;;;;Q2;Percentual da população coberta por planos e seguros de assistência suplementar à saúde, por quintil de renda;;;1;0;0;;;
A270000000030000000;Percentual da população do terceiro quintil de renda coberta por planos e seguros de assistência suplementar à saúde;;;;Q3;Percentual da população coberta por planos e seguros de assistência suplementar à saúde, por quintil de renda;;;1;0;0;;;
A270000000040000000;Percentual da população do quarto quintil de renda coberta por planos e seguros de assistência suplementar à saúde;;;;Q4;Percentual da população coberta por planos e seguros de assistência suplementar à saúde, por quintil de renda;;;1;0;0;;;
A270000000050000000;Percentual da população do quinto quintil de renda coberta por planos e seguros de assistência suplementar à saúde;;;;Q5;Percentual da população coberta por planos e seguros de assistência suplementar à saúde, por quintil de renda;;;1;0;0;;;
A270000000100000000;Percentual da população residente em área urbana coberta por planos e seguros de assistência suplementar à saúde;;;;;;;;0;0;0;;;
A270000000200000000;Percentual da população residente em área rural coberta por planos e seguros de assistência suplementar à saúde;;;;;;;;0;0;0;;;
A270010800000000000;Percentual da população com 1 a 8 anos de escolaridade coberta por planos e seguros de assistência suplementar à saúde;;;;;;1 a 8;Percentual da população coberta por planos e seguros de assistência suplementar à saúde, por anos de estudo;0;1;0;;;2
A270091100000000000;Percentual da população com 9 a 11 anos de escolaridade coberta por planos e seguros de assistência suplementar à saúde;;;;;;9 a 11;Percentual da população coberta por planos e seguros de assistência suplementar à saúde, por anos de estudo;0;1;0;;;3
A270111100000000000;Percentual da população com menos de 1 ano de escolaridade coberta por planos e seguros de assistência suplementar à saúde;;;;;;< 1;Percentual da população coberta por planos e seguros de assistência suplementar à saúde, por anos de estudo;0;1;0;;;1
A270120000000000000;Percentual da população com 12 anos ou mais de escolaridade coberta por planos e seguros de assistência suplementar à saúde;;;;;;12 ou mais;Percentual da população coberta por planos e seguros de assistência suplementar à saúde, por anos de estudo;0;1;0;;;4
A271000000000000000;Percentual de homens cobertos por planos e seguros de assistência suplementar à saúde;;;;;;;;0;0;0;;;
A272000000000000000;Percentual de mulheres cobertas por planos e seguros de assistência suplementar à saúde;;;;;;;;0;0;0;;;
A280000000000000000;Distância média percorrida (em km) para realização de procedimentos específicos fora da Região de Saúde de residência; ;;;;;;;0;0;0;;;
A290000000000000000;Distância média percorrida (em km) para realização de procedimentos específicos na Região de Saúde de residência;;;;;;;;0;0;0;;;
A340000000000000000;Percentual de angioplastias realizadas no interior da Região de Saúde de residência;;;;;;;;0;0;0;;;
A350000000000000000;Percentual de angioplastias realizadas fora da Região de Saúde de residência ;;;;;;;;0;0;0;;;
A360000000000000000;Percentual de partos hospitalares realizados no interior da Região de Saúde de residência ;;;;;;;;0;0;0;;;
A370000000000000000;Percentual de partos hospitalares realizados fora da Região de Saúde de residência ;;;;;;;;0;0;0;;;
A380000000000000000;Percentual de mamografias realizadas no interior da Região de Saúde de residência ;;;;;;;;0;0;0;;;
A390000000000000000;Percentual de mamografias realizadas fora da Região de Saúde de residência;;;;;;;;0;0;0;;;
A400000000000000000;Percentual de quimioterapias realizadas no interior da Região de Saúde de residência ;;;;;;;;0;0;0;;;
A410000000000000000;Percentual de quimioterapias realizadas fora da Região de Saúde de residência ;;;;;;;;0;0;0;;;
A420000000000000000;Percentual de radioterapias realizadas no interior da Região de Saúde de residência ;;;;;;;;0;0;0;;;
A430000000000000000;Percentual de radioterapias realizadas fora da Região de Saúde de residência ;;;;;;;;0;0;0;;;
A510000000000000000;Taxa de internação por 1000 habitantes; ;;;;;;;0;0;0;;;
A520000000000000000;Razão entre o número de procedimentos de mamografia em mulheres de 50 a 69 anos e a metade da população de mulheres na mesma faixa etária; ;;;;;;;0;0;0;;;
A530000000000000000;Razão entre o número de exames citopatológicos em mulheres de 25 a 64 anos e um terço da população de mulheres na mesma faixa etária; ;;;;;;;0;0;0;;;
A540000000000000000;Percentual da população coberta por planos e seguros de assistência suplementar à saúde; ;;;;;;;0;0;0;;;
B010000000000000000;Taxa de incidência de AIDS por 100 mil habitantes; ;;;;;;;0;0;0;;;
B050000000000000000;Taxa de mortalidade por diarreia por 100 mil habitantes menores de 5 anos; ;;;;;;;0;0;0;;;
B0600000B0000000000;Taxa bruta de mortalidade por hipertensão por 100 mil habitantes de 50 a 64 anos; ;;;;;;;0;0;0;;;
B0600000P0000000000;Taxa de mortalidade por hipertensão padronizada por idade e sexo por 100 mil habitantes de 50 a 64 anos;Taxas por 100 mil habitantes;Taxa para a população de 50 a 64 anos;;;;;;0;0;0;;;
B070000000000000000;Taxa de mortalidade por IRA por 100 mil habitantes menores de 5 anos; ;;;;;;;0;0;0;;;
B090000000000000000;Taxa de incidência de tuberculose por 100 mil habitantes; ;;;;;;;0;0;0;;;
B110000000000000000;Percentual de internações por Condições Sensíveis à Atenção Primária; ;;;;;;;0;0;0;;;
B1200000B0000000000;Taxa bruta de internação por asma por 100 mil habitantes de 15 anos ou mais; ;;;;;;;0;0;0;;;
B1200000P0000000000;Taxa de internação por asma padronizada por sexo e idade por 100 mil habitantes de 15 anos ou mais;Taxas por 100 mil habitantes;;;;;;;0;0;0;;;
B1300000B0000000000;Taxa bruta de internação por pneumonia bacteriana por 100 mil habitantes de 18 anos ou mais; ;;;;;;;0;0;0;;;
